ERROR: logging before google.Init: I0814 16:40:06.132319      66 server.go:1464] Starting language server process with pid 49488
ERROR: logging before google.Init: I0814 16:40:06.140803      66 server.go:1516] Language server version: 1.1.13
ERROR: logging before google.Init: I0814 16:40:06.140879      66 server.go:573] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0814 16:40:06.145229      66 server.go:588] Language server listening on random port at 59081 for HTTPS (gRPC)
ERROR: logging before google.Init: I0814 16:40:06.145641      66 server.go:596] Language server listening on random port at 59082 for HTTP
ERROR: logging before google.Init: E0814 16:40:08.925719      81 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0814 16:40:08.926998      81 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0814 16:40:08.937414      66 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0814 16:40:08.938021      66 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0814 16:40:08.940001      66 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0814 16:40:08.940060      66 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0814 16:40:08.941681      66 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0814 16:40:08.941755      66 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0814 16:40:08.941891      66 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0814 16:40:08.941937      66 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0814 16:40:08.942092      66 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0814 16:40:08.942148      66 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0814 16:40:08.942275      66 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0814 16:40:08.942320      66 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0814 16:40:08.947455      66 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0814 16:40:08.950781      66 defaults.go:759] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0814 16:40:08.951042      66 manager.go:98] Creating trajectory store manager with proto store and SQLite store
ERROR: logging before google.Init: W0814 16:40:08.970503      66 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0814 16:40:08.970569      66 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0814 16:40:08.970707      66 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0814 16:40:08.970757      66 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0814 16:40:08.977056     133 manager.go:75] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0814 16:40:08.977099     133 manager.go:78] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0814 16:40:08.977138     133 manager.go:87] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0814 16:40:08.977155     133 manager.go:78] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
