id,rations,oil,coal,uranium,bauxite,iron,lead,copper,lumber,components,steel,consumer_goods,aluminium,gasoline,ammunition
102,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
103,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
15,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
104,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
105,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
106,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
107,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
27,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
28,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
108,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
31,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
109,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
110,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
84,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
32,790,0,0,0,0,0,0,0,400,0,250,0,200,0,0
85,1000,0,0,0,0,0,0,0,400,0,250,0,200,0,0
111,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
112,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
122,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
121,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
133,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
132,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
138,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
137,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
155,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
148,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
147,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
154,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
171,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
170,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
196,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
179,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
178,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
197,1000,0,0,0,0,0,0,0,400,0,250,0,200,0,0
198,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
163,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
162,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
189,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
188,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
199,1000,0,0,0,0,0,0,0,400,0,250,0,200,0,0
216,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
215,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
224,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
223,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
241,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
240,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
296,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
273,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
272,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
585,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
287,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
114,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
59,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
70,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
181,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
71,1000,0,0,0,0,0,0,0,400,0,250,0,200,0,0
180,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
202,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
201,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
78,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
79,1000,0,0,0,0,0,0,0,400,0,250,0,200,0,0
87,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
117,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
86,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
116,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
128,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
127,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
275,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
274,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
286,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
289,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
288,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
297,1000,0,0,0,0,0,0,0,400,0,250,0,200,0,0
303,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
313,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
323,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
333,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
353,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
345,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
344,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
363,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
373,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
383,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
393,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
413,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
423,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
463,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
475,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
443,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
442,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
453,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
452,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
