id,location,gold
625,Grassland,20000000
617,Boreal Forest,20000000
31,Tundra,20000000
626,Tundra,20000000
665,Tundra,20000000
32,Grassland,20000800
63,Tundra,20000000
64,Tundra,20000000
9998,Bot Nation,10000000
102,Tundra,20000000
9999,Bot Nation,11716500
103,Tundra,20000000
755,testloc,20000000
104,Tundra,20000000
105,Tundra,20000000
106,Tundra,20000000
107,Tundra,20000000
627,Savanna,20000000
2,Tundra,100020000000
3,Grassland,100020000000
14,Boreal Forest,29720
4,Grassland,100020000001
607,Jungle,20000000
27,Tundra,20000000
28,Tundra,20000000
108,Tundra,20000000
109,Tundra,20000000
110,Tundra,20000000
111,Tundra,20000000
16,Jungle,112358064
15,Jungle,20000000
585,Mountain Range,20000000
112,Tundra,20000000
745,testloc,20000000
19,Boreal Forest,4330744466
20,Desert,77749479651
23,Desert,137379978873
620,Desert,37380102
624,Boreal Forest,84150359
621,Savanna,63002485
615,Jungle,20000000
622,Grassland,5482837
619,Boreal Forest,20000000
611,Desert,20000000
59,Tundra,20000000
65,Tundra,20000000
623,Desert,58142
114,Tundra,20000000
715,testloc,20000000
756,Europe,20000000
757,Asia,20000000
11,Desert,8200
66,Boreal Forest,11461
10,Desert,9103
13,Grassland,123254117363
5,Mountain Range,217302000686
26,Tundra,550427950
25,Tundra,238176255
30,Boreal Forest,1361162368
33,Tundra,10321134250
582,Tundra,3802
36,Grassland,11286421807
583,Mountain Range,171250693
584,Boreal Forest,479306749
616,Desert,68199263
613,Boreal Forest,1621
594,Grassland,2453
608,Savanna,136035121
612,Grassland,34612524
17,Savanna,203042254
18,Jungle,185086335
24,Tundra,84557308
34,Desert,56851564
35,Jungle,89454110
614,Boreal Forest,53034300
586,Mountain Range,51335934
595,Jungle,54133776
1,Tundra,200875132366
7,Grassland,106781990675
6,Jungle,261262644845
8,Grassland,111319711707
9,Desert,108110067528
29,Tundra,638831736
